Sample ID,SiO2,Si_err,Al2O3,Al_err,Na2O,Na_err,MgO,Mg_err,K2O,K_err,CaO,Ca_err,FeO,TiO2,Total,Si(L-value),Al(L-value),Na(L-value),Na(L-value),Na(L-value),Mg(L-value),K(L-value),Ca(L-value),Current
UI1 K HBL 1 Peak Search,40.7549,0.27,13.9896,0.46,2.4747,2.49,12.8119,0.26,2.0659,0.96,10.107,0.43,10.7604,5.8867,98.8511,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
AST Cr-Pyrope 1,42.4895,0.27,21.3402,0.37,0.0819,26.39666667,20.0343,0.21,0.0067,86.48,4.3654,0.67,10.8052,1.2149,100.3381,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
AST Orthoclase 1,65.5398,0.2,16.3079,0.4,0.9333,4.173333333,0,100,15.1648,0.35,0.0074,101.16,1.7358,0.0195,99.7085,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
AST Albite 1,68.5638,0.2,19.3292,0.37,11.4185,1.04,0,100,0.139,5.4,0.0905,8.65,0.0018,0.0085,99.5513,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
UI1 Anorthite 1,44.8773,0.25,35.3657,0.27,0.5191,6.023333333,0.0419,11.87,0.0084,70.34,18.9933,0.31,0.4784,0.0049,100.289,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
UI1 plagioclase 1,52.4287,0.23,30.3723,0.29,3.6788,1.92,0.1436,3.98,0.1174,6.37,13.3475,0.38,0.4246,0.0719,100.5848,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
PRISPST_plag 1,50.3344,0.24,31.2418,0.29,2.7768,2.2567,0.1245,4.61,0.1213,6.04,14.9355,0.36,1.0263,0.0805,100.6411,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
PRISPST_plag 2,52.4122,0.23,29.8706,0.3,3.626,1.95,0.1391,4.12,0.194,4.27,13.3772,0.38,1.1994,0.0817,100.9002,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
PRISPST_plag 3,54.0629,0.23,28.8981,0.3,4.327,1.763,0.1244,4.48,0.2729,3.31,12.1841,0.4,0.9784,0.067,100.9148,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
PRISPST_plag 4,51.9215,0.23,30.9954,0.29,3.2677,2.0667,0.1604,3.62,0.1536,5.04,14.0766,0.37,1.0606,0.0512,101.687,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
PRISPST_plag 5,48.228,0.24,32.3654,0.28,2.1375,2.5767,0.0713,7.2,0.1352,5.62,16.0885,0.34,0.8435,0.0562,99.9256,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
PRISPST_plag 6,54.0716,0.23,27.2157,0.31,4.0808,1.83,0.4276,1.78,0.352,2.78,12.1603,0.4,2.5226,0.1861,101.0167,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.02
PRISPST_plag 7,55.9446,0.23,27.1167,0.31,4.9517,1.6467,0.1326,4.31,0.5091,2.2,10.5601,0.43,1.1441,0.1498,100.5087,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.02
PRISPST_plag 8,49.1317,0.24,31.7876,0.29,2.5146,2.3767,0.0731,7.24,0.0881,7.87,15.6389,0.35,0.774,0.0428,100.0508,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.01
PRISPST_plag 9,50.5396,0.24,29.4376,0.3,2.7992,2.26,0.5409,1.5,0.2461,3.54,14.6158,0.36,2.2929,0.2339,100.706,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
PRISPST_plag 10,50.9917,0.24,30.7564,0.29,3.0492,2.1367,0.1032,5.44,0.1712,4.72,14.4039,0.36,1.1785,0.05,100.7041,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.05
PRISPST_plag 11,55.0827,0.23,28.045,0.31,4.6367,1.7,0.1178,4.64,0.3429,2.82,11.4442,0.41,1.0885,0.1058,100.8636,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.05
PRISPST_plag 12,46.8663,0.25,33.6629,0.28,1.3866,3.2867,0.0779,6.74,0.0587,11.32,17.6489,0.33,0.74,0.0135,100.4548,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.05
PRISPST_plag 13,52.0749,0.23,29.8506,0.3,3.5923,1.9567,0.1338,4.31,0.2346,3.71,13.4925,0.37,0.9828,0.05,100.4115,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.04
HHPST_plag 14,46.6066,0.25,33.7307,0.28,1.4393,3.23,0.0742,7.09,0.0908,7.6,17.4149,0.33,0.6594,0.0245,100.0404,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
HHPST_plag 15,57.8117,0.22,26.1994,0.32,5.8014,1.51,0.0965,5.74,0.5525,2.06,9.1827,0.46,0.7437,0.0718,100.4597,77.304,90.62,129.354,129.401,129.438,107.509,119.82,107.592,20.03
